t	x	v
4.490000	-0.215742	0.999740
4.500000	-0.205745	1.001898
4.510000	-0.195726	1.003955
4.520000	-0.185686	1.005913
4.530000	-0.175627	1.007769
4.540000	-0.165549	1.009526
4.550000	-0.155454	1.011181
4.560000	-0.145342	1.012736
4.570000	-0.135215	1.014189
4.580000	-0.125073	1.015541
4.590000	-0.114918	1.016792
4.600000	-0.104750	1.017941
4.610000	-0.094570	1.018989
4.620000	-0.084380	1.019934
4.630000	-0.074181	1.020778
4.640000	-0.063973	1.021520
4.650000	-0.053758	1.022160
4.660000	-0.043537	1.022697
4.670000	-0.033310	1.023133
4.680000	-0.023078	1.023466
4.690000	-0.012844	1.023697
4.700000	-0.002607	1.023825
4.710000	0.007632	1.023851
4.720000	0.017870	1.023775
4.730000	0.028108	1.023596
4.740000	0.038344	1.023315
4.750000	0.048577	1.022931
4.760000	0.058806	1.022446
4.770000	0.069031	1.021858
4.780000	0.079249	1.021167
4.790000	0.089461	1.020375
4.800000	0.099665	1.019480
4.810000	0.109860	1.018484
4.820000	0.120044	1.017385
4.830000	0.130218	1.016185
4.840000	0.140380	1.014882
4.850000	0.150529	1.013479
4.860000	0.160664	1.011973
4.870000	0.170783	1.010367
4.880000	0.180887	1.008659
4.890000	0.190974	1.006850
4.900000	0.201042	1.004940
4.910000	0.211092	1.002930
4.920000	0.221121	1.000819
4.930000	0.231129	0.998608
4.940000	0.241115	0.996296
4.950000	0.251078	0.993885
4.960000	0.261017	0.991374
4.970000	0.270931	0.988764
4.980000	0.280818	0.986055
4.990000	0.290679	0.983247
5.000000	0.300511	0.980340
5.010000	0.310315	0.977335
5.020000	0.320088	0.974232
5.030000	0.329830	0.971031
5.040000	0.339541	0.967733
5.050000	0.349218	0.964337
5.060000	0.358861	0.960845
5.070000	0.368470	0.957256
5.080000	0.378042	0.953572
5.090000	0.387578	0.949791
5.100000	0.397076	0.945915
5.110000	0.406535	0.941945
5.120000	0.415955	0.937879
5.130000	0.425333	0.933720
5.140000	0.434671	0.929466
5.150000	0.443965	0.925120
5.160000	0.453217	0.920680
5.170000	0.462423	0.916148
5.180000	0.471585	0.911524
5.190000	0.480700	0.906808
5.200000	0.489768	0.902001
5.210000	0.498788	0.897103
5.220000	0.507759	0.892115
5.230000	0.516680	0.887038
5.240000	0.525551	0.881871
5.250000	0.534369	0.876615
5.260000	0.543136	0.871272
5.270000	0.551848	0.865840
5.280000	0.560507	0.860322
5.290000	0.569110	0.854717
5.300000	0.577657	0.849026
5.310000	0.586147	0.843249
5.320000	0.594580	0.837388
5.330000	0.602954	0.831442
5.340000	0.611268	0.825412
5.350000	0.619522	0.819300
5.360000	0.627715	0.813104
5.370000	0.635846	0.806827
5.380000	0.643915	0.800469
5.390000	0.651919	0.794030
5.400000	0.659860	0.787510
5.410000	0.667735	0.780912
5.420000	0.675544	0.774234
5.430000	0.683286	0.767479
5.440000	0.690961	0.760646
5.450000	0.698567	0.753737
5.460000	0.706105	0.746751
5.470000	0.713572	0.739690
5.480000	0.720969	0.732554
5.490000	0.728295	0.725344
5.500000	0.735548	0.718062
5.510000	0.742729	0.710706
5.520000	0.749836	0.703279
5.530000	0.756869	0.695780
5.540000	0.763826	0.688212
5.550000	0.770708	0.680573
5.560000	0.777514	0.672866
5.570000	0.784243	0.665091
5.580000	0.790894	0.657249
5.590000	0.797466	0.649340
5.600000	0.803960	0.641365
5.610000	0.810373	0.633326
5.620000	0.816707	0.625222
5.630000	0.822959	0.617055
5.640000	0.829129	0.608825
5.650000	0.835218	0.600534
5.660000	0.841223	0.592182
5.670000	0.847145	0.583769
5.680000	0.852982	0.575298
5.690000	0.858735	0.566768
5.700000	0.864403	0.558181
5.710000	0.869985	0.549537
5.720000	0.875480	0.540837
5.730000	0.880889	0.532082
5.740000	0.886210	0.523273
5.750000	0.891442	0.514411
5.760000	0.896586	0.505497
5.770000	0.901641	0.496531
5.780000	0.906607	0.487515
5.790000	0.911482	0.478448
5.800000	0.916266	0.469334
5.810000	0.920960	0.460171
5.820000	0.925561	0.450961
5.830000	0.930071	0.441706
5.840000	0.934488	0.432405
5.850000	0.938812	0.423060
5.860000	0.943043	0.413672
5.870000	0.947179	0.404242
5.880000	0.951222	0.394770
5.890000	0.955169	0.385258
5.900000	0.959022	0.375706
5.910000	0.962779	0.366116
5.920000	0.966440	0.356488
5.930000	0.970005	0.346823
5.940000	0.973473	0.337123
5.950000	0.976845	0.327389
5.960000	0.980118	0.317620
5.970000	0.983295	0.307819
5.980000	0.986373	0.297986
5.990000	0.989353	0.288122
6.000000	0.992234	0.278229
6.010000	0.995016	0.268307
6.020000	0.997699	0.258356
6.030000	1.000283	0.248379
6.040000	1.002767	0.238377
6.050000	1.005150	0.228349
6.060000	1.007434	0.218297
6.070000	1.009617	0.208223
6.080000	1.011699	0.198127
6.090000	1.013680	0.188010
6.100000	1.015561	0.177873
6.110000	1.017339	0.167717
6.120000	1.019016	0.157544
6.130000	1.020592	0.147354
6.140000	1.022065	0.137148
6.150000	1.023437	0.126927
6.160000	1.024706	0.116693
6.170000	1.025873	0.106446
6.180000	1.026938	0.096187
6.190000	1.027899	0.085918
6.200000	1.028759	0.075639
6.210000	1.029515	0.065351
6.220000	1.030168	0.055056
6.230000	1.030719	0.044754
6.240000	1.031167	0.034447
6.250000	1.031511	0.024136
6.260000	1.031752	0.013820
6.270000	1.031891	0.003503
6.280000	1.031926	-0.006816
6.290000	1.031857	-0.017135
6.300000	1.031686	-0.027454
6.310000	1.031412	-0.037771
6.320000	1.031034	-0.048085
6.330000	1.030553	-0.058395
6.340000	1.029969	-0.068701
6.350000	1.029282	-0.079000
6.360000	1.028492	-0.089293
6.370000	1.027599	-0.099578
6.380000	1.026603	-0.109854
6.390000	1.025505	-0.120120
6.400000	1.024304	-0.130375
6.410000	1.023000	-0.140618
6.420000	1.021594	-0.150848
6.430000	1.020085	-0.161064
6.440000	1.018475	-0.171265
6.450000	1.016762	-0.181450
6.460000	1.014947	-0.191617
6.470000	1.013031	-0.201767
6.480000	1.011014	-0.211897
6.490000	1.008895	-0.222007
6.500000	1.006675	-0.232096
6.510000	1.004354	-0.242163
6.520000	1.001932	-0.252207
6.530000	0.999410	-0.262226
6.540000	0.996788	-0.272220
6.550000	0.994065	-0.282188
6.560000	0.991244	-0.292128
6.570000	0.988322	-0.302041
6.580000	0.985302	-0.311924
6.590000	0.982183	-0.321777
6.600000	0.978965	-0.331599
6.610000	0.975649	-0.341389
6.620000	0.972235	-0.351145
6.630000	0.968723	-0.360867
6.640000	0.965115	-0.370555
6.650000	0.961409	-0.380206
6.660000	0.957607	-0.389820
6.670000	0.953709	-0.399396
6.680000	0.949715	-0.408933
6.690000	0.945626	-0.418430
6.700000	0.941441	-0.427887
6.710000	0.937163	-0.437301
6.720000	0.932790	-0.446673
6.730000	0.928323	-0.456000
6.740000	0.923763	-0.465284
6.750000	0.919110	-0.474521
6.760000	0.914365	-0.483712
6.770000	0.909528	-0.492856
6.780000	0.904599	-0.501951
6.790000	0.899580	-0.510997
6.800000	0.894470	-0.519993
6.810000	0.889270	-0.528938
